                                                                    title                                                                    |                                                        override_title                                                        |                                                                                                                                                  basis                                                                                                                                                   |                                                                                                                    conclusion                                                                                                                     |       source        |                                ref                                | category 
                                                                                                                                             |                                                                                                                              | 카 간 칸막이 설치                                                                                                                                                                                                                                                                                       +|   - 다만, 건축구조상 설치가 불가능하고, 이를 서류로 증명한다면 제외 가능                                                                                                                                                                          |                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | [부칙] 제2조제3항                                                                                                                                                                                                                                                                                       +|                                                                                                                                                                                                                                                   |                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 노후ㆍ수리불능 또는 안전을 강화하기 위해 리모델링하는 승강기는 개정 검사기준을 적용한다.                                                                                                                                                                                                                 |                                                                                                                                                                                                                                                   |                     |                                                                   | 
 승강장 제어반 조명장치                                                                                                                      | 승강장 제어반의 조명장치 및 스위치 설치(MRL)                                                                                 | [별표 1] 6.4.9                                                                                                                                                                                                                                                                                          +| ‣ 승강로 내부 구동기의 제어반이 승강장에 설치된 경우, 제어반 및 전면 작업구역은 200 lx이상의 조도 확보하여야 함                                                                                                                                  +| 2016년 제1차 표준화 | [별표 1] 6.4.9                                                    | 기계실
                                                                                                                                             |                                                                                                                              | 구동기 공간의 조명장치                                                                                                                                                                                                                                                                                  +| ‣ 조명스위치는 출입지점 근처에서 조작가능토록 위치                                                                                                                                                                                                |                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 『작업구역 및 구동기 공간은 바닥 면에 200 lx 이상을 비출 수 있는 영구적으로 설치된 전기 조명이 있어야 한다. 권한이...적절한 높이로 출입지점에 가까이 설치된 조명스위치는...조명을 점멸할 수 있어야 한다.』                                                                                               |                                                                                                                                                                                                                                                   |                     |                                                                   | 
 작업구역 보호                                                                                                                               | 기계실 출입문 등이 외기에 있는 경우 빗물이 침투하지 않도록 설치                                                              | <div>[별표 1,2] 6.3.4.3                                                                                                                                                                                                                                                                                 +| ‣ 출입문이 외기에 접하는 경우 캐노피 등 빗물 유입 방지장치 설치                                                                                                                                                                                  +| 2016년 제1차 표준화 | [별표 1,2] 6.3.4.3                                                | 기계실
                                                                                                                                             |                                                                                                                              | </div>외기의 기계실 출입문                                                                                                                                                                                                                                                                              +| ‣ 캐노피는 기계실 출입문의 폭과 높이(0.7m x 1.8m) 이상 확보                                                                                                                                                                                      +|                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 『출입문이 외기에 접하는 경우에는 빗물이 침입하지 않는 구조이어야 한다.』                                                                                                                                                                                                                                | ‣ 제어반이 외기에 있을 경우 캐노피 공간(0.7x1.8) 및 제어반 작업구역(0.5m×0.7m)이상 확보                                                                                                                                                           |                     |                                                                   | 
 기계실 내부 이동통로                                                                                                                        | 기계실 내부 이동통로 크기                                                                                                    | [별표 1,2,5] 6.3.3.1                                                                                                                                                                                                                                                                                    +| ‣ 작업구역[6.3.3.1가),나)] 접근 유효공간은 폭 0.5m(움직이는 부품이 없는 경우 0.4m), 높이 1.8m 이상 확보                                                                                                                                          +| 2016년 제1차 표준화 | [별표 1,2,5] 6.3.3.1                                              | 기계실
                                                                                                                                             |                                                                                                                              | 기계실내 작업구역                                                                                                                                                                                                                                                                                       +| ‣ 조속기 등 기타 설비의 상부에 유효공간(0.5m×1.8m)이 확보된 경우 “<span style="color: rgb(12, 68, 124);">적합</span>”                                                                                                                             |                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 『기계실...작업구역...                                                                                                                                                                                                                                                                                  +|                                                                                                                                                                                                                                                   |                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 가) 제어 패널 및 캐비닛 전면의 유효 수평면적                                                                                                                                                                                                                                                            +|                                                                                                                                                                                                                                                   |                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 나) 수동 비상운전 수단...유지보수 및 점검을 위한 유효 수평면적                                                                                                                                                                                                                                          +|                                                                                                                                                                                                                                                   |                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 6.3.3.2                                                                                                                                                                                                                                                                                                 +|                                                                                                                                                                                                                                                   |                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 기계실 내부 이동통로                                                                                                                                                                                                                                                                                    +|                                                                                                                                                                                                                                                   |                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 『6.3.3.1...유효 공간으로 접근하는 통로의 폭은 0.5 m 이상....움직이는 부품이 없는 경우에는 0.4 m로...유효 높이는...1.8 m 이상이어야 한다.』                                                                                                                                                              |                                                                                                                                                                                                                                                   |                     |                                                                   | 
 기계실내 수동 비상운전 수평 유효면적을 확보 장소                                                                                            | 기계실내 수동 비상운전 수평 유효면적을 확보 장소                                                                             | [별표 1,2,5] 6.3.3.1나), 12.5.1                                                                                                                                                                                                                                                                         +| ‣ 기계실내 수동 비상운전 유효수평면적 확보(수동비상운전의 경우)                                                                                                                                                                                  +| 2016년 제1차 표준화 | [별표 1,2,5] 6.3.3.1나), 12.5.1                                   | 기계실
                                                                                                                                             |                                                                                                                              | 기계실내 수동비상운전 작업구역                                                                                                                                                                                                                                                                          +| ‣ 다만, 제조사에서 구동기 측면의 유효수평면적에서 수동비상운전이 가능하다는 부분을 증명하는 경우 가능 (도면 등의 서류 등)                                                                                                                         |                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 『기계실...작업구역에서 유효 높이는 2 m 이상....                                                                                                                                                                                                                                                        +|                                                                                                                                                                                                                                                   |                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 나)수동 비상운전 수단(12.5.1)이 필요하다면, 움직이는 부품의 유지보수 및 점검을 위한 유효 수평면적은 0.5 m × 0.6 m 이상이어야 한다.』                                                                                                                                                                     |                                                                                                                                                                                                                                                   |                     |                                                                   | 
 구동기 공간으로 접근통로 계단에 난간 설치                                                                                                   |  구동기 공간으로 접근통로 계단에 난간 설치                                                                                   | [별표 1,2,5] 6.2.2                                                                                                                                                                                                                                                                                      +| <div><span style="letter-spacing: -0.01em;">‣ 기계실이 있는 경우(MR), 최상층 승강장에서 기계실까지 가는 통로 계단에 난간 설치</span></div>‣ 승강로 내부 구동기의 경우(MRL), 구동기 공간(승강로 내 또는 승강장 제어반)까지의 통로 계단에 난간 설치+| 2016년 제1차 표준화 | [별표 1,2,5] 6.2.2                                                | 기계실
                                                                                                                                             |                                                                                                                              | 구동기 공간 접근 통로                                                                                                                                                                                                                                                                                   +|  ※ 건축법에 따라 난간이 설치되는 곳은 검사 제외. 예) 옥상으로 가는 계단 등                                                                                                                                                                       +|                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 『구동기 공간 및 풀리 공간에 사람이 안전하게 출입할 수 있는 계단 등의 통로가 있어야 한다. 계단을 포함한 통로는 출입문의 폭과 높이 이상이어야 하며, 계단에는 높이 0.85 m 이상의 견고한 난간이 설치되어야 한다.』                                                                                          | * 「건축물의 피난·방화구조 등의 기준에 관한 규칙」 제15조에는 건축물의 난간설치 의무화                                                                                                                                                            |                     |                                                                   | 
 피트 깊이가 2.5m 초과 시 피트 출입문 설치                                                                                                   |                                                                                                                              | ‣ 피트 깊이가 2.5m 초과 시 피트 출입문 설치                                                                                                                                                                                                                                                              | ‣ 피트 깊이가 2.5m 초과 시 피트 출입문 설치 및 출입 통로(승강로 외부 공간을 통한 통로) 확보                                                                                                                                                      +| 2016년 제1차 표준화 | 6.2.4                                                             | 피트
                                                                                                                                             |                                                                                                                              |                                                                                                                                                                                                                                                                                                          | ※ 피트바닥과 피트 출입문 단차 허용                                                                                                                                                                                                               +|                     |                                                                   | 
                                                                                                                                             |                                                                                                                              |                                                                                                                                                                                                                                                                                                          | ‣ 출입통로 내 전구간(2.5m이상) 수직사다리의 설치는 <span style="color: rgb(163, 45, 45);">불가</span>                                                                                                                                             |                     |                                                                   | 
