                                                                    title                                                                    |                                                        override_title                                                        |                                                                                                                                                  basis                                                                                                                                                   |                                                                                                                    conclusion                                                                                                                     |       source        |                                ref                                | category 
                                                                                                                                             |                                                                                                                              |                                                                                                                                                                                                                                                                                                          | <span style="color: rgb(12, 68, 124);">[검사판정]</span> 승강기번호 표지의 재발급을 신청하였으나 검사 전 까지 재발급이 지연되어 표지를 부착할 수 없은 경우,                                                                                      +|                     |                                                                   | 
                                                                                                                                             |                                                                                                                              |                                                                                                                                                                                                                                                                                                          | 가) 검사 시 임시번호판(재발급 신청 시 출력 가능)의 부착을 허용                                                                                                                                                                                   +|                     |                                                                   | 
                                                                                                                                             |                                                                                                                              |                                                                                                                                                                                                                                                                                                          | 나) 승강기번호 표지의 재발급이 완료되는 경우, 관리주체(또는 신청인)는 승강기번호 표지를 해당 승강기에 정확히 부착할 것.                                                                                                                          +|                     |                                                                   | 
                                                                                                                                             |                                                                                                                              |                                                                                                                                                                                                                                                                                                          | <span style="color: rgb(12, 68, 124);">[표준화 적용]</span> 2023년 제1차 검사방법 표준화 게시일('23.4.17.) 이후 검사부터 적용                                                                                                                     |                     |                                                                   | 
 구동 순환장소 상·하부 조명 콘센트 설치 기준                                                                                                 | 비상용엘리베이터 피트 내 콘센트 및 조명기구 위치                                                                             | [별표 1] 16.2.3.2                                                                                                                                                                                                                                                                                       +| ‣ 피트 콘센트 및 전구 등 전기장치는 누수 등으로부터 승강기 안전운행에 영향이 없어야 함(IP등급, 설치 위치 등)                                                                                                                                     +| 2016년 제1차 표준화 | [별표 1] 16.2.3.2                                                 | 피트
                                                                                                                                             |                                                                                                                              | 피트 전기장치                                                                                                                                                                                                                                                                                           +| ‣ 이에 따라, 피트 내부의 최대 누수 수준의 높이에서 0.5 m 이상의 위치(피트내)에 있어야 함                                                                                                                                                         +|                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 『콘센트 및 승강로에서 가장 낮은 조명 전구의 위치는 허용 가능한 피트 내부의 최대 누수 수준* 위로 0.5 m 이상이어야 한다』                                                                                                                                                                                +| 예시) 피트 바닥에서 1.0 *m 이상 높이에 콘센트 및 조명전구설치                                                                                                                                                                                    +|                     |                                                                   | 
                                                                                                                                             |                                                                                                                              |    * 피트 내부의 최대 누수 수준 : 피트바닥에서 완충기가 완전히 눌러진 상태까지의 높이                                                                                                                                                                                                                    | * 0.5m(피트내부최대누수수준)+0.5=1.0m                                                                                                                                                                                                             |                     |                                                                   | 
 각 승강장 근처가 어느 범위? 소방운전 스위치 설치 위치에서 반경 몇 m이내 설치해야 되는지? 승강장문 근처에 설치하는지, 소방운전 스위치 설치   | 비상용E/L와 승객용E/L 기계실이 붙어 있는 경우 접근 경로                                                                      | [별표 1] 16.2.1.1                                                                                                                                                                                                                                                                                       +| ‣ 검사기준에서는 비상용과 승객용 기계실 접근 위치에 대하여 별도로 규정하고 있지는 않으나,                                                                                                                                                        +| 2016년 제1차 표준화 | [별표 1] 16.2.1.1                                                 | 기계실
                                                                                                                                             |                                                                                                                              | 비상용 엘리베이터 기계실 방화구획                                                                                                                                                                                                                                                                       +| ‣ 기계실의 구조는 방화구획된 비상용을 통하여 승객용으로 접근하도록 설치는 것을 <span style="color: rgb(12, 68, 124);">권장</span>                                                                                                                 |                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 『비고. 동일 승강로 내에 다른 엘리베이터가 있다면 전체적인 공용 승강로는 비상용 엘리베이터의 내화 규정을 만족하여야 한다. 이 내화 수준은 방화 구획된 로비 문 및 기계실에도 적용되어야 한다.』                                                                                                            |                                                                                                                                                                                                                                                   |                     |                                                                   | 
 비상용엘리베이터 문닫힘안전장치 작동의 유효/무효                                                                                            |                                                                                                                              | [별표 1] 16.2.7.3                                                                                                                                                                                                                                                                                       +| ‣ 소방운전(1,2단계) 시 문닫힘안전장치는 유효화되어야함                                                                                                                                                                                           +| 2016년 제1차 표준화 | [별표 1] 16.2.7.3                                                 | 카 내
                                                                                                                                             |                                                                                                                              | 『소방운전 스위치가 작동하는 동안, 1단계 및 2단계 조건하에서 16.2.7.7다) 및 16.2.7.8바)에 기술된 문닫힘안전장치를 제외하고 모든 엘리베이터의 안전장치(전기적 및 기계적)는 유효상태이어야 한다.』                                                                                                        +| ‣ 다만, 연기나 열에 의해 영향을 받을 수 있는 비접촉식 문닫힘 안전장치의 경우 무효화되어야 함                                                                                                                                                     +|                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 16.2.7.6                                                                                                                                                                                                                                                                                                +| ‣ 소방운전(1단계) 시 16.2.7.6에 따른 문의 휴지 시간이 2분 초과의 경우 문닫힘안전장치 작동은                                                                                                                                                      +|                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 『소방관의 엘리베이터 조작이 과도하게 지연되지 않도록 보장하기 위해 작동 문의 휴지시간이 2분을 초과할 때 카 내부에서 경보음이 울려야 한다. 이 시간 후에는 문이 감소된 동력 조건아래에서 닫히기 시작하고 경보음은 문이                                                                                   +|    - 7.5.2.1.1.3의 넛징기능이 있는 경우 무효화                                                                                                                                                                                                   +|                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 완전히 닫힐 때 취소된다...이 특징은 1단계에서만 작동되어야 한다.』                                                                                                                                                                                                                                      +|    - 넛징기능 없는 경우 유효화                                                                                                                                                                                                                    |                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 소방 운전 시 문닫힘안전장치 작동                                                                                                                                                                                                                                                                         |                                                                                                                                                                                                                                                   |                     |                                                                   | 
 다만, 설치되는 접이식 보호난간의 형태가 공구를 사용하는 조립방식인 경우 점검자의 안전사고 유발 우려 있으므로 부적합 처리                    |  비상용엘리베이터 소방운전(1,2단계) 시 자동 조명(MRL)                                                                        | [별표 1] 16.2.7.7 자)                                                                                                                                                                                                                                                                                   +| ‣ 승강로 내부 구동기의 경우                                                                                                                                                                                                                      +| 2016년 제1차 표준화 | [별표 1] 16.2.7.7 자)                                             | 기타
                                                                                                                                             |                                                                                                                              | 소방운전 시 자동 조명 시스템                                                                                                                                                                                                                                                                            +|   기계실이 없으므로 16.2.7.7 자)에서 규정하는 승강로 조명(구동기+승강로) 자동 조명                                                                                                                                                                |                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 『승강로 및 기계실 조명은 소방운전 스위치가 조작되면 자동으로 조명되어야 한다.』                                                                                                                                                                                                                         |                                                                                                                                                                                                                                                   |                     |                                                                   | 
 종전 검사기준 적용 현장(로프식)의 균형추 최대 여유거리 적용                                                                                 | 종전 검사기준 적용 현장(로프식)의 균형추 최대 여유거리 적용                                                                  | [별표 1] 5.7.1.1                                                                                                                                                                                                                                                                                        +| ‣ 균형추 최대 여유거리는 설계시 카 상부틈새(5.7.1.1) 확보 이후 최소 여유거리임(개정)                                                                                                                                                             +| 2016년 제1차 표준화 | [별표 1] 5.7.1.1                                                  | 승강로
                                                                                                                                             |                                                                                                                              | 카 상부틈새                                                                                                                                                                                                                                                                                             +| ‣ 균형추 최대 여유거리는 최대 900mm 임(종전)                                                                                                                                                                                                     +|                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 『균형추가 완전히 압축된 완충기 위에 있을 때 다음 가)~라)사항이 동시에 만족되어야 한다.』                                                                                                                                                                                                               +| ‣ 종전검사기준 현장의 경우 상기 개정검사기준에 따른 최대여유거리를 확인하여 초과하는 경우 종전검사기준 적용                                                                                                                                      +|                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | ‣ 균형추 최대 여유거리에 대하여는 별도 규정하고 있지 않으나, 카 상부 상부틈새를 위해 적정히 설계되어야함                                                                                                                                                                                                 | ‣ 개정 및 종전의 균형추 최대 여유거리 모두 초과 시 <span style="color: rgb(163, 45, 45);">지적</span>                                                                                                                                             |                     |                                                                   | 
 종전 유입식 완충기가 설치된 현장 중 [별표 1] 10.5.1 파이널 리미트 스위치의 작동 방법 카와 완충기 거리를 충족 못하는 경우 지적? 지           | 장애인용엘리베이터 조명 확보 장소                                                                                            | 「장‧노‧임 법」                                                                                                                                                                                                                                                                                         +| ‣각 부위에서 측정위치                                                                                                                                                                                                                            +| 2016년 제1차 표준화 | 「장‧노‧임 법」 9. 장애인용 승강기 라. (10)                       | 카 내
                                                                                                                                             |                                                                                                                              | 9. 장애인용 승강기                                                                                                                                                                                                                                                                                      +| ※ 보건복지부(장애인권익지원과-4611(2016.7.18.) 유권해석                                                                                                                                                                                           |                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 라. (10)장애인용 승강기의 출입구, 승강대, 조작기의 조도 150 lx 이상 확보                                                                                                                                                                                                                                 |                                                                                                                                                                                                                                                   |                     |                                                                   | 
 장애인용엘리베이터 측면 조작반 및 손잡이 설치                                                                                               |                                                                                                                              | 「장‧노‧임 법」9. 장애인용 승강기                                                                                                                                                                                                                                                                       +| ‣ 측면조작반과 손잡이가 겹치지 않고 아래사항을 충족하는 경우 가능함                                                                                                                                                                              +| 2016년 제1차 표준화 | 「장‧노‧임 법」9. 장애인용 승강기 다(1), 라(1) 7.다.손잡이(2),(4) | 카 내
                                                                                                                                             |                                                                                                                              | 다(1), 라(1) 7.다.손잡이(2),(4)                                                                                                                                                                                                                                                                         +|  - 측면 조작반 버튼은 0.8~1.2(1.4)m 내 위치하고 측면조작반 중심의 높이(0.85m)를 원칙으로 함                                                                                                                                                      +|                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 장애인용엘리베이터                                                                                                                                                                                                                                                                                      +|  - 다만, 측면 조작반 버튼의 위치가 0.8~1.2(1.4)m을 만족하는 경우 중심 높이 0.85m은 제외 가능                                                                                                                                                     +|                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 측면조작반 설치 위치,                                                                                                                                                                                                                                                                                   +|  - 손잡이 설치높이(0.8∼0.9m)이내                                                                                                                                                                                                                 +|                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 손잡이 설치 요건                                                                                                                                                                                                                                                                                         |  - 벽과 손잡이의 간격은 5 cm 내외로 설치되어야 하나, 전망용등과 같이 측면의 벽면이 균등하지 않는 경우(단차) 가장 돌출된 부분의 벽과 손잡이의 간격이 5 cm 내외 인지를 확인                                                                         |                     |                                                                   | 
 유압식 엘리베이터 램·헤드 작업자 공간                                                                                                       |                                                                                                                              | [별표 2] 5.7.1.1 마)                                                                                                                                                                                                                                                                                    +| ‣ 실린더 주행 여유거리가 아닌 카 상부 작업자의 안전을 확보                                                                                                                                                                                       +| 2016년 제1차 표준화 | [별표 2] 5.7.1.1 마)                                              | 승강로
                                                                                                                                             |                                                                                                                              | 유압식 엘리베이터 램·헤드 작업자 공간                                                                                                                                                                                                                                                                   +| ‣ 램·헤드의 가장 높은 부품과 투영면적내의 승강로 천장 가장 낮은 부품간 수직거리를 측정                                                                                                                                                           +|                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | 『5.7.1.1 램이 12.2.3에 따라 램의 행정 제한수단을 통해 최대 위치에 있을 때 가)~바)사항이 동시에 만족되어야 한다.』                                                                                                                                                                                       |                                                                                                                                                                                                                                                   |                     |                                                                   | 
 에스컬레이터 스커트디플렉터 소급적용 대상 중 설치할 수 없는 구조의 판정(1년 조건부합격)에 대한 후속처리                                     |                                                                                                                              | [별표3] 5.5.3.4 다)                                                                                                                                                                                                                                                                                     +| ‣ 검사판정 “<span style="color: rgb(12, 68, 124);">합격</span>” 처리하고 스커트디플렉터 미설치에 따른 끼임 등 위험성 안내(시정권고)                                                                                                              +| 2016년 제1차 표준화 | [별표3] 5.5.3.4 다)                                               | 기타
                                                                                                                                             |                                                                                                                              | 스커트디플렉터 설치                                                                                                                                                                                                                                                                                     +|                                                                                                                                                                                                                                                   |                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | * 승강기안전과-3517호(2015.09.23.)로 안내드린 스커트 디플렉터 제외 대상                                                                                                                                                                                                                                 +|                                                                                                                                                                                                                                                   |                     |                                                                   | 
                                                                                                                                             |                                                                                                                              |    “1년조건부합격”처리                                                                                                                                                                                                                                                                                   |                                                                                                                                                                                                                                                   |                     |                                                                   | 
 정기검사 시 전산 미입력 (현장측정 불가에 따라 기술서류 항목으로 분류하여 정량항목에서 정성항목으로 변경, 전산수정완료) ‣ 제어회로 및 안전회 | 수시검사 시 에스컬레이터 상부 공간 확보                                                                                      | [별표 3] 7.2.1, 7.2.4                                                                                                                                                                                                                                                                                   +| ‣ 7.2.4항에 따라 에스컬레이터 핸드레일 외측끝단에서 건축물 교차점, 기둥, 보, 요철부(난간) 등까지 0.4 m 이내 있는 경우 적절한 안전 예방조치(보호대, 안전 보호판 등)을 설치                                                                        +| 2016년 제1차 표준화 | [별표 3] 7.2.1, 7.2.4                                             | 기타
                                                                                                                                             |                                                                                                                              | 에스컬레이터와 건축물과의 보호수단                                                                                                                                                                                                                                                                       |                                                                                                                                                                                                                                                  +|                     |                                                                   | 
                                                                                                                                             |                                                                                                                              |                                                                                                                                                                                                                                                                                                          | ‣ 7.2.1항에 따라 에스컬레이터의 스텝 위의 틈새 높이는 2.3 m 이상 확보하여야 함                                                                                                                                                                   +|                     |                                                                   | 
                                                                                                                                             |                                                                                                                              |                                                                                                                                                                                                                                                                                                          |   ※ 다만, 리모델링한 승강기의 경우 교체한 부품은 현행 검사기준 적용. 다만, 건축물의 구조 변경없이 현행 검사기준을 적용하기 불가능한 경우 종전 검사기준 적용 가능                                                                                  |                     |                                                                   | 
 덤웨이터 카 출입구의 운행 중 화물과 승강로 충돌방지를 위한 보호수단                                                                         |                                                                                                                              | 덤웨이터 카 출입구 『운행하는 동안 운반되는 화물이 승강로의 벽과 충돌되는 것을 방지하기 위해 적절한 수단(리테이너, 방벽, 롤러 블라인드 또는 카문 등)이 카 출입구에 설치되어야 한다.』                                                                                                                    | 덤웨이터 카 문 설치하는 경우 8.6.2항에 따라 카 출입구를 완전히 막야야 함 * 부속서 Ⅱ 참조                                                                                                                                                          | 2016년 제1차 표준화 | [별표 4] 8.5                                                      | 기타
 정기검사 시 속도 측정(하중시험) 방법                                                                                                        |                                                                                                                              | [별표 1] 12.6 속도                                                                                                                                                                                                                                                                                      +| ‣ 정기검사 시 무부하 상태에서 속도 측정                                                                                                                                                                                                          +| 2016년 제1차 표준화 | [별표 1] 12.6 속도                                                | 기타
                                                                                                                                             |                                                                                                                              | 『정격 주파수로 전원이 공급되고, 전동기 전압이 엘리베이터의 정격전압과 같을 때 모든 가속 및 감속구간을 제외하고 카의 주행로 중간에서 정격하중의 50 %를 실고 하강하는 카의 속도는 정격속도의 92 % 이상 105 % 이하이어야 한다.』                                                                          +|                                                                                                                                                                                                                                                   |                     |                                                                   | 
                                                                                                                                             |                                                                                                                              | [별표 8]                                                                                                                                                                                                                                                                                                +|                                                                                                                                                                                                                                                   |                     |                                                                   | 
